author_id,name
AUTHOR_fc02831a60140a0f750b4cfcb432f01fdca4e697,"Lythreatis, Sophie (57188563931)"
AUTHOR_e3d1db0d79d49e064697d7ff29bfbc55a6bfcdbf,"Acikgoz, Fulya (57217735955)"
AUTHOR_305c1a340d335ed93280686fd8e4fb405a3b6b37,"Yassine, Noura M. (57192157615)"
AUTHOR_3ee51679423bcf24f8080a60f91f3da8ce23736d,"Ahmadi, Leila (57200995896)"
AUTHOR_4b22d57b8c6a83421a09309df7a0ec6ca8f65b99,"Bilal, Muhammad (60198029700)"
AUTHOR_f1d814a7285ca87808812d3ce8277b08fb28aa21,"Olumo, Adama (58689028600)"
AUTHOR_7e03a3f362d0f5422e836e08670b4c28dae5bb45,"Mollaei, Aida (57219284267)"
AUTHOR_fb4c69effa34e441f68c3033af35dbcc16181a30,"Jalaei, Farzad (54894358100)"
AUTHOR_2502750ed943d518a1405705402a979a3298b775,"Ebrahimi, Nafiseh (58596236500)"
AUTHOR_79b4fdeb588e4a738bf343f2b334d1ed31467c3e,"Mozaffari, Hamed (59301537300)"
AUTHOR_32f09cbeaf767b9b07797e1f15c6cca6665328d7,"Kim, Joyce (57135548100)"
AUTHOR_32e01d29940700438cf53fc1af004de0540a6edd,"Haas, Carl T.M. (7202620442)"
AUTHOR_b5213a8773242ea4b99c9edbca73f8de153494d1,"Soto-Vergel, Angelo J. (57224891931)"
AUTHOR_d0c731f88876e98b3c21b8346c5dcb2d52afeec9,"Ramirez-Rios, Diana G. (35957015800)"
AUTHOR_c0d555ec14e9d72b8a2b7b2151d6d000a70e792e,"Vélez, Juan Carlos (39362643600)"
AUTHOR_29878cbb703d557263317076a60864ff9dda5d52,"Amaya-Mier, René (57194037052)"
AUTHOR_24ffd9e13dbaa9ff28eb7a63f14315f1db9b8801,Unknown Author
AUTHOR_215518ddc354522785112b8ac4770b842fb8957d,"Wang, Kunyu (60007031500)"
AUTHOR_c6527928ff3fd5c5280f2ba5b7d6b3d97ce23194,"Lin, Xin (58500634700)"
AUTHOR_a9ede52167b84aadbfddf1164b2e30493b75ee66,"Zhang, Xiaodong (60007031600)"
AUTHOR_f90ce8fa05a7cf061086d5a24922028017f50e2e,"Zheng, Jianming (58903001300)"
AUTHOR_7f1de62d52e9c14f65e51e9c421a448f1e17a40b,"He, Hongzhou (7402291592)"
AUTHOR_9640bc70a5b15d1395127958a1ce34b1dac3c3f2,"Xu, Ying (58665933600)"
AUTHOR_3ec9f3e20f100611b8fec42f8e45a938a0e46459,"Wang, Dechao (57195733186)"
AUTHOR_c89c56c57eccd93686c41992c48dfd43d6b61007,"Zheng, Zhifeng (36769853600)"
AUTHOR_143185d0bb52ad79c99e43ea5e7b99256fb93f76,"Huang, Yuanbo (36767445800)"
AUTHOR_c4b77bf49390b6195225b2a57d2429ff9b6bc89f,"Diaz Schery, Carlos Alejandro (58558907200)"
AUTHOR_716ee003079e59864840465f3b7453c70494c966,"Caiado, Rodrigo Goyannes Gusmão (57224222999)"
AUTHOR_022aa48282d96269c1bea85d7eef1f43bae51854,"Aguilar Vargas, Soraida (57191246617)"
AUTHOR_2d6be126206e1e3115b51b08b088b00163b89ec0,"Rodriguez Vignon, Yiselis (58985410600)"
AUTHOR_071d37fd32fb8745a91e0098e9bde4ace41b3064,"Prastiwi, Irene Budi (59093843600)"
AUTHOR_833392e48752d5303c53f843eff2794c214fcc77,"Sudibjo, Niko (57198451756)"
AUTHOR_a1811d9b550f55b71aa1a9b2082828cec537f286,"Tan, Jacob Donald (57209251094)"
AUTHOR_b250f9814f1f6dc4468aefa62ac089d75018425e,"Abbasi, Mostafa (58848828800)"
AUTHOR_6cd0f87ee379f1a4162e9b74e098dba0d36e1e9a,"Nishat, Rahnuma Islam (36190208000)"
AUTHOR_115029d76dbb6cacc807e5d3ede12c6213d86c93,"Bond, Corey (57957022100)"
AUTHOR_1d8f43b150412507424de4bbafeedf487b57f6c5,"Graham-Knight, John Brandon (57218573092)"
AUTHOR_6003c3fc44c245d2fb8a4e679337a55f231dd865,"Lasserre, Patricia (26632075500)"
AUTHOR_9ec8c6d229f122d145592664b2bd4b09fe42472e,"Lucet, Yves (22954204500)"
AUTHOR_d00c7d7b04d4bf321eabe49689f892524847594a,"Najjaran, Homayoun (57203257121)"
AUTHOR_7124682052e661ec550d5b7772295304dfbe5178,"Al-Sukhni, Muthana (57467449900)"
AUTHOR_950ec4d74428e9aad367a948c981b0f509b5a18a,"Migdalas, Athanasios (6505880791)"
AUTHOR_c451c07c46ae632bfa0631ef3493eae79e088302,"Wang, Shaoxin (59731847600)"
AUTHOR_9adf6de588e2f72e7a69c1aa563f5b4a389eb662,"Schlagwein, Daniel (37013671400)"
AUTHOR_f4919240713274c20a7b5baf5c14deb7f43b2431,"Seymour, Mike (57191890614)"
AUTHOR_8ab5b86817f4d61d844bb7237ce80906a8e549bf,"Ossa-Cardona, Jose Luis (59134878300)"
AUTHOR_cd926522a632a4804fe404ca8df61eea057583c4,"Grego, Marica (57194119791)"
AUTHOR_0e1c19d3642814736bf3914949cbd3b98ef88e08,"Bartosiak, Marcin Lukasz (57188802692)"
AUTHOR_524242fd24f3624d6304e18304f9169c59356ed1,"Palese, Biagio (57193225894)"
AUTHOR_f7843f8e9bf0d33fd1ff56b76db30f9da454afbb,"Piccoli, Gabriele (56185495400)"
AUTHOR_3df08d09260e32ad6024d7e6c59da07a06c91215,"Denicolai, Stefano (16834471700)"
AUTHOR_aef51679adf83cae6600301f58825d8153749b6a,"Sharma, Arpit (58971325800)"
AUTHOR_0ca4482d36f99eb0c89e612be54d824310d5f994,"Dean, Benjamin P. (57208569871)"
AUTHOR_f7f6786c9bb99e4ae101f5a2846fb00e482a5aff,"Bezjian, James (57211517870)"
AUTHOR_bdd6c06baeb05b6c316f8c2eee7f669d3bfb2627,"Truant, Elisa (57140643300)"
AUTHOR_c17bd7c78dbd4b8237807463537c1a5b4a51ffd0,"Crocco, Edoardo (57357970800)"
AUTHOR_47eadd0b515e661f402db61a5a7af319e33e52f9,"Culasso, Francesca K. (56921881800)"
AUTHOR_c319bad9b87f168f7ae4b4a68dc17402527b5d74,"Alshibani, Safiya Mukhtar (57218940621)"
